"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 07 13:38:19 ART 2024","Thu Mar 07 13:38:21 ART 2024","1690","chromium","Playwright Dev Pages","","","","should show Page Object Model article",""
"passed","Thu Mar 07 10:13:30 ART 2024","Thu Mar 07 10:13:31 ART 2024","1052","webkit","allure suite name 'has title'","","","","has title",""
"passed","Thu Mar 07 10:13:30 ART 2024","Thu Mar 07 10:13:32 ART 2024","1757","webkit","allure suite name 'get started link'","","","","get started link",""
"passed","Thu Mar 07 13:38:19 ART 2024","Thu Mar 07 13:38:21 ART 2024","2125","webkit","Playwright Dev Pages","","","","getting started should contain table of contents",""
"passed","Thu Mar 07 13:38:19 ART 2024","Thu Mar 07 13:38:20 ART 2024","1361","chromium","Playwright Dev Pages","","","","getting started should contain table of contents",""
"passed","Thu Mar 07 10:38:32 ART 2024","Thu Mar 07 10:38:34 ART 2024","1105","webkit","Search test from main page","Title global","","","has title",""
"passed","Thu Mar 07 10:13:30 ART 2024","Thu Mar 07 10:13:31 ART 2024","859","chromium","allure suite name 'has title'","","","","has title",""
"passed","Thu Mar 07 13:38:19 ART 2024","Thu Mar 07 13:38:22 ART 2024","3071","firefox","Playwright Dev Pages","","","","getting started should contain table of contents",""
"passed","Thu Mar 07 10:38:32 ART 2024","Thu Mar 07 10:38:33 ART 2024","832","chromium","Search test from main page","Title global","","","has title",""
"passed","Thu Mar 07 10:13:30 ART 2024","Thu Mar 07 10:13:33 ART 2024","2826","firefox","allure suite name 'get started link'","","","","get started link",""
"passed","Thu Mar 07 10:13:30 ART 2024","Thu Mar 07 10:13:33 ART 2024","2509","firefox","allure suite name 'has title'","","","","has title",""
"passed","Thu Mar 07 13:38:19 ART 2024","Thu Mar 07 13:38:22 ART 2024","2840","webkit","Playwright Dev Pages","","","","should show Page Object Model article",""
"passed","Thu Mar 07 10:38:32 ART 2024","Thu Mar 07 10:38:33 ART 2024","1080","chromium","Search test from main page","Title global","","","get started link",""
"passed","Thu Mar 07 10:13:30 ART 2024","Thu Mar 07 10:13:32 ART 2024","1385","chromium","allure suite name 'get started link'","","","","get started link",""
"passed","Thu Mar 07 13:38:19 ART 2024","Thu Mar 07 13:38:22 ART 2024","3421","firefox","Playwright Dev Pages","","","","should show Page Object Model article",""
"passed","Thu Mar 07 10:38:32 ART 2024","Thu Mar 07 10:38:35 ART 2024","2575","firefox","Search test from main page","Title global","","","get started link",""
"passed","Thu Mar 07 10:38:32 ART 2024","Thu Mar 07 10:38:35 ART 2024","2372","firefox","Search test from main page","Title global","","","has title",""
"passed","Thu Mar 07 10:38:32 ART 2024","Thu Mar 07 10:38:34 ART 2024","1817","webkit","Search test from main page","Title global","","","get started link",""
